CharId,title,description,Uniqueness,FamilyName,FirstName,CourtesyName
3k_dlc04_ceo_node_career_historical_ding_yuan_jianyang_01,"{'zh': '登天之龙', 'en': 'Rising Dragon'}","{'zh': '此人必有所成——尤其是在身处帝都宫廷的残酷世界里。', 'en': 'This one is going places - specifically, up in the cut-throat world of Imperial administration.'}",,,,
3k_dlc04_ceo_node_career_historical_dong_he_youzai_01,"{'zh': '坦率公正', 'en': 'Honest & Fair'}","{'zh': '此人以其为人诚实、谈吐率直、处事公正而备受敬仰。', 'en': 'This man is admired for his honest, plain-speaking ways and even-handed manner in all things.'}",,,,
3k_dlc04_ceo_node_career_historical_du_ji_bohou_01,"{'zh': '官员表率', 'en': 'Model Governor'}","{'zh': '此人懂得何时抚慰人心，何时展露铁腕。', 'en': 'This one understands when to use the velvet glove and when to reveal the iron hand beneath.'}",,,,
3k_dlc04_ceo_node_career_historical_duan_gui_ziyin_01,"{'zh': '铁腕执行', 'en': 'Enforcer'}","{'zh': '「我听说这一带最近有盗匪出没。我？不不，我完全不知道这些事……」', 'en': '""I\'ve heard that bandits have been abroad around these parts recently. Me? No, I know nothing about such things...""'}",,,,
3k_dlc04_ceo_node_career_historical_emperor_ling_01,"{'zh': '善变天子', 'en': 'The Inconstant Emperor'}","{'zh': '行事反复无常之人最终必将前后不一、缺乏沉稳，乃至不可依靠……', 'en': 'He who flits and fluctuates risks appearing inconsistent, unsteady and, eventually, unstable...'}",,,,
3k_dlc04_ceo_node_career_historical_emperor_ling_02,"{'zh': '大汉明君', 'en': 'The Great Emperor of the Han'}","{'zh': '在排除万难中兴大汉之后，世人皆称此人为大汉明君。', 'en': 'Having overcome adversity, this one is now recognised as a great emperor of the Han.'}",,,,
3k_dlc04_ceo_node_career_historical_emperor_shao_01,"{'zh': '史侯', 'en': 'Lord Shi'}","{'zh': '皇帝担心皇子刘辩夭折，便命道人史子眇将其在远离皇都的地方养大，因此刘辩又被称为“史侯”。', 'en': ""Due to fears for his health, Liu Bian was raised away from the capital by the famed Taoist, Shi Zimiao, earning him the nickname 'Lord Shi'.""}",,,,
3k_dlc04_ceo_node_career_historical_empress_he_01,"{'zh': '精妙操手', 'en': 'Subtle Manipulator'}","{'zh': '一向能谋巧算，一向诡计多端，表面平静之下，向来波诡云谲。向来如此。', 'en': 'Always plotting, always scheming, always something beneath the obvious. Always.'}",,,,
3k_dlc04_ceo_node_career_historical_feng_fang_01,"{'zh': '含怨强敌', 'en': 'Bitter Adversary'}","{'zh': '「他们本可以成为挚友，可惜人生总不如意……」', 'en': '""In another life, they could\'ve been best friends. However, that\'s just not how the bones fell…""'}",,,,
3k_dlc04_ceo_node_career_historical_fu_xie_nanrong_01,"{'zh': '平叛义军', 'en': 'Destroyer of Rebels'}","{'zh': '傅燮不仅是一位声名显赫的将军——堪称黄巾军的克星——而且还是一位精通文法的大儒。', 'en': 'Fu Xie is not only a general of no little repute – the scourge of the Yellow Turbans, perhaps – but also a skilled writer.'}",,,,
3k_dlc04_ceo_node_career_historical_gao_wang_01,"{'zh': '尚药监', 'en': 'Officer for Medicines'}","{'zh': '「经过了仔细的诊察，我认为最好以水蛭放血。」', 'en': '""After a thorough examination, I\'ve decided the best way forward is a course of leeches.""'}",,,,
3k_dlc04_ceo_node_career_historical_gao_you_01,"{'zh': '学界新秀', 'en': 'Budding Scholar'}","{'zh': '前途无量的青年才俊，未来大有可为。', 'en': 'An up-and-coming young mind, of which great things are expected.'}",,,,
3k_dlc04_ceo_node_career_historical_guan_hai_01,"{'zh': '坚定工兵', 'en': 'Determined Sapper'}","{'zh': '无论何等工事壁垒，皆起于意志坚定军匠', 'en': 'Burrowing under tree and hill, no defences are a match for the mind of a determined sapper.'}",,,,
3k_dlc04_ceo_node_career_historical_guo_sheng_01,"{'zh': '何氏之友', 'en': 'Friend of the He'}","{'zh': '「姓何的？哦，我们很久以前就认识了。让我给你好好讲讲……」', 'en': '""Do I know the He? Oh yes, we go waaaaay back. I could tell you stories...""'}",,,,
3k_dlc04_ceo_node_career_historical_han_xian_01,"{'zh': '白波宿将', 'en': 'White Wave Veteran'}","{'zh': '许多战斗——许多生命——都在这位鬓发斑白的贼徒眼前逝去。', 'en': 'Many battles – and many lives – have passed before the eyes of this grizzled bandit.'}",,,,
3k_dlc04_ceo_node_career_historical_he_jin_01,"{'zh': '何氏屠夫', 'en': 'The Butcher of the He'}","{'zh': '吾虽持屠户戮兽之斧，贼子狂徒亦可轻易劈翻。', 'en': 'The axe that cleaves through beast can so easily be turned to rend man too.'}",,,,
3k_dlc04_ceo_node_career_historical_huangfu_song_01,"{'zh': '谦逊坚定', 'en': 'Modest & Stalwart'}","{'zh': '义真不但心坚义贞，更以端庄本性辅之。', 'en': ""This one's unwavering loyalty is matched only by their demure nature. ""}",,,,
3k_dlc04_ceo_node_career_historical_jin_xuan_yuanji_01,"{'zh': '望族子弟', 'en': 'Scion of Gold'}","{'zh': '闪光的不一定是金子，有时候，天赋显得更为耀眼。', 'en': 'Not all that glitters is gold. Sometimes, talent shines even brighter.'}",,,,
3k_dlc04_ceo_node_career_historical_jiu_dan_01,"{'zh': '仲裁天下', 'en': 'Arbiter of the Planets'}","{'zh': '纳甲六爻、易数八卦。术数杂繁，天意难料。泱泱国祚，拳拳我心。但为君故，测预必得。', 'en': 'To decide between two astronomical methods is a most difficult and perplexing conundrum, but the emperor must have his forecast.'}",,,,
3k_dlc04_ceo_node_career_historical_lady_cai_yan_wenji_01,"{'zh': '莺娇婉娩', 'en': 'The Nightingale'}","{'zh': '晨谣应风唱，仍逊文姬诗。', 'en': 'Even the morningsong that drifts on the wind cannot compare to the sweet lyric of the muse.'}",,,,
3k_dlc04_ceo_node_career_historical_lady_da_qiao_01,"{'zh': '江南闺秀', 'en': 'Daughter of the Southlands'}","{'zh': '南方聚灵秀，赠与贵胄家：二女长成，心地善良，意志坚定。', 'en': 'The south produces boons to its nobles: two daughters, fair of mind and strong of resolve.'}",,,,
3k_dlc04_ceo_node_career_historical_lady_wang_song_01,"{'zh': '忠诚不渝', 'en': 'Ever-faithful'}","{'zh': '无论贫富贵贱，相互扶持，患难与共，此乃婚姻之道。', 'en': 'To support one another, through both the fruitful times and the barren, is the essence of marriage.'}",,,,
3k_dlc04_ceo_node_career_historical_lady_xiao_qiao_01,"{'zh': '江南闺秀', 'en': 'Daughter of the Southlands'}","{'zh': '贞孝良人，天赐众福。', 'en': 'To the filial and the devout, life will give not one, but two measures of its respect.'}",,,,
3k_dlc04_ceo_node_career_historical_li_wenhou_01,"{'zh': '潜伏凶虐', 'en': 'Creeping Dread'}","{'zh': '死亡的化身。慢刀乍现，出其不意，一击致命。', 'en': 'Death personified; the slow knife that appears, unexpected and lethal.'}",,,,
3k_dlc04_ceo_node_career_historical_liu_chong_01,"{'zh': '陈王', 'en': 'Prince of Chen'}","{'zh': '刘宠并非太子，却是最为勤勉，最受百姓爱戴的宗王。', 'en': 'Liu Chong is not the heir apparent, but is the prince most active and beloved by his people.'}",,,,
3k_dlc04_ceo_node_career_historical_liu_hong_yuanzhuo_01,"{'zh': '算圣', 'en': 'Mathematical Sage'}","{'zh': '此人精通数字，凭之运作施为，令人叹为观止，激动人心，以至隐有忧虑……', 'en': 'What this one can do with numbers is impressive, exciting, and almost a little worrying…'}",,,,
3k_dlc04_ceo_node_career_historical_liu_pi_01,"{'zh': '久历四方', 'en': 'Wanderer'}","{'zh': '“无论集镇港口，贩夫走卒，所到之处，所遇之人，皆可从中琢磨学习，受益匪浅，卿知否？”', 'en': '""There is much to be learned in every town, every port, and from every person you encounter, friend.""'}",,,,
3k_dlc04_ceo_node_career_historical_liu_xie_02,"{'zh': '董侯', 'en': 'Lord Dong'}","{'zh': '虽然董侯已经不理政事，但太后依然在关注着他与他的言论', 'en': 'Though he officially retired from political life some time ago, the empress-dowager still has a care for Lord Dong and his views.'}",,,,
3k_dlc04_ceo_node_career_historical_liu_xun_zitai_01,"{'zh': '心腹大将', 'en': 'Trusting Warlord'}","{'zh': '宽宏大量，慷慨仁义，然后遭人欺骗。这便是轻听轻信的宿命。', 'en': 'It is the curse of the trusting to be magnanimous, generous, and ultimately tricked.'}",,,,
3k_dlc04_ceo_node_career_historical_lu_boshe_01,"{'zh': '好客东家', 'en': 'Gracious Host'}","{'zh': '“请进，我的朋友，请进！喝茶么，还是来点更猛的……？”', 'en': '""Come in, my friend, come in! Tea, perhaps? Or something stronger…?""'}",,,,
3k_dlc04_ceo_node_career_historical_lu_ji_gongji_01,"{'zh': '观星者', 'en': 'Stargazer'}","{'zh': '繁星点缀于夜幕之上，星罗棋布，璀璨生辉。', 'en': 'The stars paint a picture on the canvas of night, mesmerising and beautiful.'}",,,,
3k_dlc04_ceo_node_career_historical_lu_jun_01,"{'zh': '儒雅俊杰', 'en': 'Gentleman Cadet'}","{'zh': '要论名士风流，此君独揽风骚。', 'en': 'If one wishes to learn the intricacies of gentlemanly behaviour, one need look no further.'}",,,,
3k_dlc04_ceo_node_career_historical_lu_kang_jining_01,"{'zh': '治理楷模', 'en': 'Paragon of Governance'}","{'zh': '生在钟鸣鼎食之家，既可滋生恶习，也能孕育美德。所幸，此人良善至极，但善恶往往一念之间。', 'en': ""Being born to a vast family can feed either vice or virtue. Luckily, this one is kind to a fault, but it could've gone either way.""}",,,,
3k_dlc04_ceo_node_career_historical_lu_yu_zijia_01,"{'zh': '任能辨才', 'en': 'Judge of Talent'}","{'zh': '“是，是，我们会把你带到他们面前，他们便会知道。他们向来都知道……”', 'en': '""Yes yes, we will bring you before them, and they will know. They ALWAYS know…""'}",,,,
3k_dlc04_ceo_node_career_historical_lu_zhi_01,"{'zh': '德劭导师', 'en': 'Respected Mentor'}","{'zh': '一位世所罕见的良师益友，只可惜命途多舛。', 'en': 'A peerless teacher and favoured friend, though chronically misfortunate.'}",,,,
3k_dlc04_ceo_node_career_historical_luo_jun_xiaoyuan_01,"{'zh': '百姓守护', 'en': 'Guardian of the People'}","{'zh': '“施压于民，绝无益处。水能载舟，亦能覆舟。”', 'en': '""There is nothing to be gained from oppressing the people; they, ultimately, will decide our fate.""'}",,,,
3k_dlc04_ceo_node_career_historical_luo_tong_gongxu_01,"{'zh': '贫贱之骑', 'en': 'Penniless Knight'}","{'zh': '翻山越岭，走街串巷，人们传扬着这位勇士的事迹，然而勇士本人依旧是个谜。', 'en': ""From town to town, they speak of this one's deeds, yet the warrior himself remains a wandering mystery.""}",,,,
3k_dlc04_ceo_node_career_historical_ma_midi_wengshu_01,"{'zh': '谏议大夫', 'en': 'Counsellor Remonstrant'}","{'zh': '尽管经验不足，这位尚书仆射仍不失为深藏智谋，字字珠玑。', 'en': 'Wisdoms pours from every word of this able, if inexperienced, counsellor.'}",,,,
3k_dlc04_ceo_node_career_historical_ma_yuanyi_01,"{'zh': '厌马之人', 'en': 'Hippophobe'}","{'zh': '一朝见烈马，十年怕马骡', 'en': ""A psychological fear of horses is not entirely unreasonable when you've seen what they can do.""}",,,,
3k_dlc04_ceo_node_career_historical_qiao_mao_yuanwei_01,"{'zh': '汉朝忠臣', 'en': 'Loyalist of the Han'}","{'zh': '尽管困难重重，无论所遇何事，他们都将拱卫汉室。', 'en': 'Against all odds, to whatever end, they will defend the Han.'}",,,,
3k_dlc04_ceo_node_career_historical_qiao_xuan_gongzu_01,"{'zh': '告灾先觉', 'en': 'Harbinger of Chaos'}","{'zh': '此人已经看到了天下的未来。骚乱正在酝酿', 'en': 'This one has seen the way the world is going. Tumult is imminent.'}",,,,
3k_dlc04_ceo_node_career_historical_song_dian_01,"{'zh': '缮修玉堂', 'en': 'Architect of the Jade Hall'}","{'zh': '顺帝的殿堂曾经无比辉煌，如今却因年久失修而倾颓。此人奉命对其进行修缮', 'en': ""Emperor Shun's hall was a thing of unbridled splendour, but has fallen into some disrepair. This man has been tasked with its maintenance.""}",,,,
3k_dlc04_ceo_node_career_historical_song_jian_01,"{'zh': '僭号河陇', 'en': 'Lord of the Sources'}","{'zh': '其人杀敌无数，手下败将，或可尸骸蔽野，血流成河。', 'en': 'Like the river flows, so too does the blood of his enemies.'}",,,,
3k_dlc04_ceo_node_career_historical_tang_zhou_01,"{'zh': '国之耳目', 'en': 'Eyes & Ears'}","{'zh': '谋士如此之多，谁会怀疑再多了一人呢……？', 'en': 'Amongst so many advisors, who would suspect one more…?'}",,,,
3k_dlc04_ceo_node_career_historical_wang_guo_01,"{'zh': '残酷叛贼', 'en': 'Cruel Turncoat'}","{'zh': '对于那些视荣华富贵为一切的人来说，所谓道义，一文不值。', 'en': 'Honour is nothing to those for whom gold and glory loom large over all.'}",,,,
3k_dlc04_ceo_node_career_historical_wu_qiong_deyu_01,"{'zh': '贤才伯乐', 'en': 'Seeker of Talent'}","{'zh': '“卿之良才……实乃深不可测……”', 'en': '""I see in you the ability to…. Yes, yes! Something FAR greater…""'}",,,,
3k_dlc04_ceo_node_career_historical_xia_yun_01,"{'zh': '财政天才', 'en': 'Financial Genius'}","{'zh': '唯利是图之贸，为人不齿。此人却深谙此学，最善空手套白狼', 'en': ""Having mastered finance's decidedly black arts, this one is able to generate funds almost from thin air.""}",,,,
3k_dlc04_ceo_node_career_historical_xue_zhou_01,"{'zh': '千帆海贼', 'en': 'Pirate of the Thousand Sails'}","{'zh': '此等水贼，有精兵坚船在侧，更有雄心万丈藏于胸中！', 'en': 'This pirate rides with an armada at his back and the call to glory in his soul!'}",,,,
3k_dlc04_ceo_node_career_historical_xun_shuang_ciming_01,"{'zh': '力克贪腐', 'en': 'Fighter Against Corruption'}","{'zh': '无论何处，但凡有不忠不义之人的迹象，此人必将其连根铲除', 'en': 'This one seeks unscrupulous dishonesty wherever it may lurk. It will be rooted out.'}",,,,
3k_dlc04_ceo_node_career_historical_ying_qu_xiulian_01,"{'zh': '饱读之士', 'en': 'Bookish Scholar'}","{'zh': '卷帙浩繁，连篇累牍，即便仅仅片刻，观之亦如坠隔世……', 'en': 'The words of these tomes take the reader to another world, if only temporarily…'}",,,,
3k_dlc04_ceo_node_career_historical_ying_shao_zhongyuan_01,"{'zh': '熟知仪礼', 'en': 'Master of Ceremonies'}","{'zh': '“大人，大人！听吾一言！”', 'en': '""My lords, my lords! Please attend carefully!""'}",,,,
3k_dlc04_ceo_node_career_historical_ying_yang_delian_01,"{'zh': '棋坛圣手', 'en': 'Chess Grandmaster'}","{'zh': '通常来说，赢家仅是未犯最后一个错的人。', 'en': '""Typically, however, the winner is just the player who made the penultimate mistake.""'}",,,,
3k_dlc04_ceo_node_career_historical_yuan_yi_boye_01,"{'zh': '忠于袁氏', 'en': 'Loyal Yuan'}","{'zh': '对家族的忠贞高于一切。', 'en': 'Loyalty to family above all.'}",,,,
3k_dlc04_ceo_node_career_historical_zhang_bao_01,"{'zh': '地公将军', 'en': 'General of the Land'}","{'zh': '不配太平道者，皆应血归黄土。', 'en': 'Zhang Bao nourishes the land with the blood of the undeserving.'}",,,,
3k_dlc04_ceo_node_career_historical_zhang_jue_01,"{'zh': '天公将军', 'en': 'General of Heaven'}","{'zh': '苍天已死，黄天当立！吾领黄巾道众，顺黄天传太平！', 'en': 'Zhang Jue leads the Yellow Rebellion, driven by divine purpose!'}",,,,
3k_dlc04_ceo_node_career_historical_zhang_liang_01,"{'zh': '人公将军', 'en': 'General of the People'}","{'zh': '吾善唤起民众，引之斗暴政。', 'en': 'Zhang Liang supports the people, driving them to war against an oppressive regime.'}",,,,
3k_dlc04_ceo_node_career_historical_zhang_mancheng_01,"{'zh': '南阳灾祸', 'en': 'Scourge of Nanyang'}","{'zh': '农人低声谈论此事，而南阳百姓则哀嚎连天。', 'en': 'Peasants speak of this one in hushed whispers, whilst those of Nanyang howl in anguish.'}",,,,
3k_dlc04_ceo_node_career_historical_zhang_rang_01,"{'zh': '皇帝假父', 'en': 'Imperial Father'}","{'zh': '虽然并没有血缘关系，但此人就如同天子的亲生父亲一般', 'en': 'Though they share no blood, this man has been like a father to the emperor.'}",,,,
3k_dlc04_ceo_node_career_historical_zhang_wen_boshen_01,"{'zh': '无双国士', 'en': 'Peerless Protégé'}","{'zh': '如有任务下达，此人必定躬身完成。', 'en': 'If there is a task to perform, this one will see it done.'}",,,,
3k_dlc04_ceo_node_career_historical_zhao_hong_01,"{'zh': '玄龟御敌', 'en': 'The Turtle'}","{'zh': '“且慢，尔等胆敢来闯龟阵！无人可破吾之躯壳！”', 'en': '""Behold, you assault the Turtle! Nothing shall pierce my shell!""'}",,,,
3k_dlc04_ceo_node_career_historical_zhao_zhong_01,"{'zh': '皇帝假母', 'en': 'Imperial Mother'}","{'zh': '虽然并没有血缘关系，但此人就如同天子的亲生母亲一般', 'en': 'Though they are unrelated, this man has been as a mother to the emperor.'}",,,,
3k_dlc04_ceo_node_career_historical_zhou_bi_zhongyuan_01,"{'zh': '举贤之人', 'en': 'Nominator of Worth'}","{'zh': '真的，两个人能否合得来，此人一眼便知。', 'en': 'Truly, this one can see if two people will fit together, and if they will not.'}",,,,
3k_dlc04_ceo_node_career_historical_zhou_xin_daming_01,"{'zh': '前锋猛将', 'en': 'Frontline General'}","{'zh': '「我也是你们中的一员，我了解你们的苦痛！」', 'en': '""I am one of you, I know your pain!""'}",,,,
3k_dlc04_ceo_node_career_historical_zong_yuan_01,"{'zh': '辅佐将领', 'en': 'Auxiliary Leader'}","{'zh': '“无论尔等出身何处，但凡骁勇战士，吾来者不拒！”', 'en': '""I won\'t be the one to refuse good warriors, no matter where you hail from!""'}",,,,
3k_dlc05_ceo_node_career_generated_assassin_01,"{'zh': '老练刺客', 'en': 'Assassin'}","{'zh': '杀戮之事，一回生，二回熟。三四回后则如家常便饭。', 'en': 'After a few kills, a degree of finesse is developed; after a few more, death is just routine.'}",,,,
3k_dlc05_ceo_node_career_generated_avenger_01,"{'zh': '枕戈剚刃', 'en': 'Avenger'}","{'zh': '“杀叔之仇，不共戴天。”', 'en': '""You really shouldn\'t have killed my uncle.""'}",,,,
3k_dlc05_ceo_node_career_generated_bandit_01,"{'zh': '熟手劫匪', 'en': 'Bandit'}","{'zh': '人生自是不公，唯死贱于苟活。兄弟，莫要惜钱失命！', 'en': '""Life isn\'t fair. It\'s just fairer than death, that\'s all.""'}",,,,
3k_dlc05_ceo_node_career_generated_brute_01,"{'zh': '暴虐之人', 'en': 'Brute'}","{'zh': '凶恣暴虐之徒不会懂得礼节与雅言', 'en': 'Niceties, wordplay, in fact, anything other than the coarsest violence is alien to this one.'}",,,,
3k_dlc05_ceo_node_career_generated_charlatan_01,"{'zh': '江湖郎中', 'en': 'Charlatan'}","{'zh': '莫要轻信其言！此人最是表里不一……', 'en': 'Don’t believe a word! This person is not who they first appear to be…'}",,,,
3k_dlc05_ceo_node_career_generated_demagogue_01,"{'zh': '蛊惑民心', 'en': 'Demagogue'}","{'zh': '道理无用！凭借迎合匹夫之识之能，哪怕名不正言不顺，往往照样如愿以偿。', 'en': ""Rationality be damned! The ability to appeal to the rabble's basest views, no matter how wrong-headed, tends to get the desired result.""}",,,,
3k_dlc05_ceo_node_career_generated_disgraced_noble_01,"{'zh': '贬谪士族', 'en': 'Disgraced Noble'}","{'zh': '“我必先将功赎罪，否则愧见父老乡亲。”', 'en': '""I can never return, of course, not until I have redeemed myself.""'}",,,,
3k_dlc05_ceo_node_career_generated_embezzler_01,"{'zh': '中饱私囊', 'en': 'Embezzler'}","{'zh': '府库的钱财落入了不义之人手中，此人显然难逃罪责。', 'en': 'Funds have been… misplaced, and this one is flagrantly, obviously, blatantly the guilty party.'}",,,,
3k_dlc05_ceo_node_career_generated_enforcer_01,"{'zh': '铁面无私', 'en': 'Enforcer'}","{'zh': '花言巧语起不了实际作用，软硬兼施才是硬道理。', 'en': 'You can get a lot further in life with a kind word and a visible blade than you can with just a kind word.'}",,,,
3k_dlc05_ceo_node_career_generated_escaped_convict_01,"{'zh': '在逃案犯', 'en': 'Escaped Convict'}","{'zh': '此人在经历了一番牢狱之灾和严刑拷打后得以逃出生天，现下可谓无所顾忌，毫无畏惧。', 'en': 'Having escaped custody and a punishment most-severe, this one is on the run, with little or nothing to lose.'}",,,,
3k_dlc05_ceo_node_career_generated_fugitive_officer_01,"{'zh': '在逃曹掾', 'en': 'Fugitive Officer'}","{'zh': '“吾并非杀妻之人！”', 'en': '""I didn\'t kill my wife!""'}",,,,
3k_dlc05_ceo_node_career_generated_hermit_01,"{'zh': '隐士', 'en': 'Hermit'}","{'zh': '能找出极力自己隐藏身份的人，此能力的确不同凡响。', 'en': 'To find one who does not wish to be found is an impressive, if not confounding, feat.'}",,,,
3k_dlc05_ceo_node_career_generated_magician_01,"{'zh': '江湖术士', 'en': 'Magician'}","{'zh': '这难以置信的壮举并不只是欺骗，尽管要欺骗他人本身也不容易。', 'en': 'These scarcely believable feats are no mere acts of trickery, although such acts are themselves also surprisingly difficult.'}",,,,
3k_dlc05_ceo_node_career_generated_mastermind_01,"{'zh': '智多星', 'en': 'Mastermind'}","{'zh': '“有始有终……”', 'en': '""I\'ve started, so I\'ll finish…""'}",,,,
3k_dlc05_ceo_node_career_generated_murderer_01,"{'zh': '唯利凶徒', 'en': 'Murderer'}","{'zh': '此人为达目的不择手段，为了一己私利可以做出任何下作之事……', 'en': 'When it comes to getting what they want, this person is not above the lowest, basest act one can commit…'}",,,,
3k_dlc05_ceo_node_career_generated_pillager_01,"{'zh': '绿林好汉', 'en': 'Pillager'}","{'zh': '“不论是你的土地还是他们的土地，通通都会属于我，这毫无疑问。”', 'en': '""What\'s yours is mine. What\'s theirs is mine. It\'s all mine, essentially.""'}",,,,
3k_dlc05_ceo_node_career_generated_poacher_01,"{'zh': '妙手空空', 'en': 'Poacher'}","{'zh': '隔牖窥扉悉悉索索，深宵胠箧妙手空空', 'en': '""Clever girl…""'}",,,,
3k_dlc05_ceo_node_career_generated_ringleader_01,"{'zh': '巧舌纳士', 'en': 'Ringleader'}","{'zh': '鼓动他人为其事业卖命的能力，自然是一把双刃剑。此人只要一开口，他人便会认真听从。', 'en': 'The ability to galvanise others to a cause can be both blessing and curse; regardless, when this one speaks, others listen keenly, and act.'}",,,,
3k_dlc05_ceo_node_career_generated_rogue_01,"{'zh': '多诈狡狯', 'en': 'Rogue'}","{'zh': '他们只需露出一丝苦笑，便几乎足以让人原谅他们的恶行。当然，只是几乎。', 'en': 'A flash of their wry smile is almost enough to forgive them their terrible deeds. Almost.'}",,,,
3k_dlc05_ceo_node_career_generated_saboteur_01,"{'zh': '成事煞星', 'en': 'Saboteur'}","{'zh': '“你之后打算做些什么可不关我的事，那是其他人职责所在。”', 'en': '""What you do afterwards is not my concern. That is somebody else\'s job.""'}",,,,
3k_dlc05_ceo_node_career_generated_thief_01,"{'zh': '惯犯名偷', 'en': 'Thief'}","{'zh': '此人有些……这么说吧：你最好把东西看紧咯。', 'en': ""This one is a bit… Put it this way: you'd best nail down what you want to hang on to.""}",,,,
3k_dlc05_ceo_node_career_generated_town_drunk_01,"{'zh': '嗜酒如命', 'en': 'Town Drunk'}","{'zh': '此人一刻也离不开杯中之物，一旦碰到酒便要痛饮一番。此人注定一事无成。', 'en': ""This one can't leave the bottle alone, nor put it down once they've picked it up; not really a suitable candidate – for anything!""}",,,,
3k_dlc05_ceo_node_career_generated_tribal_exile_01,"{'zh': '披发左衽', 'en': 'Tribal Exile'}","{'zh': '此人被自己同胞赶出了领地，只能四处流浪，再寻良机。', 'en': 'Cast out by their own people, this one is has left their own lands by necessity as much as a sense of adventure.'}",,,,
3k_dlc05_ceo_node_career_generated_trickster_01,"{'zh': '坑蒙拐骗', 'en': 'Trickster'}","{'zh': '此人总是在暗中筹划些什么，千万别过于信任！', 'en': 'This person always has a hidden agenda; do not trust them any further than you can throw them!'}",,,,
3k_dlc05_ceo_node_career_generated_wanderer_01,"{'zh': '久历四方', 'en': 'Wanderer'}","{'zh': '“我一生放荡不羁爱自由，失也好得也好，自有把握。”', 'en': '""I have walked my way since the beginning. Sometimes I give, sometimes I take – it is mine to know which and when.""'}",,,,
