key,ceo_effect_list,point_change_per_turn_if_active,title,description,icon_path,opinion_topic_modifier
3k_dlc04_ceo_factional_great_library_expertise_common_01,3k_dlc04_ceo_factional_great_library_expertise_common_01,0,Huangdi Neijing,"""One should use all five examinations and combine their results, then one will be able to decide upon the share of life and death.""\n\n{{tr:3k_dlc04_great_library_authority_common_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_expertise_01.png,
3k_dlc04_ceo_factional_great_library_expertise_exceptional_01,3k_dlc04_ceo_factional_great_library_expertise_exceptional_01,0,Discourses on Salt & Iron,"""Our ancestors spurned avarice and honoured righteousness; they venerated integrity and cared not for wealth.""\n\n{{tr:3k_dlc04_great_library_expertise_exceptional_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_expertise_03.png,
3k_dlc04_ceo_factional_great_library_expertise_refined_01,3k_dlc04_ceo_factional_great_library_expertise_refined_01,0,Nan Jing,"While the Huangdi Neijing may be authoritative, this book aims to clarify some of the vaguer areas.\n\n{{tr:3k_dlc04_great_library_expertise_refined_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_expertise_02.png,
3k_dlc04_ceo_factional_great_library_expertise_unique_01,3k_dlc04_ceo_factional_great_library_expertise_unique_01,0,Chu Ci,"""Long, long had been my road and far, far was the journey; I would go up and down to seek my heart's desire.""\n\n{{tr:3k_dlc04_great_library_expertise_unique_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_expertise_04.png,
3k_dlc04_ceo_factional_great_library_instinct_common_01,3k_dlc04_ceo_factional_great_library_instinct_common_01,0,Wei Liaozi,"""If the land is vast and properly used, then the realm is wealthy; if the population is large and properly controlled, then the realm is well-governed.""\n\n{{tr:3k_dlc04_great_library_instinct_common_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_instinct_01.png,
3k_dlc04_ceo_factional_great_library_instinct_exceptional_01,3k_dlc04_ceo_factional_great_library_instinct_exceptional_01,0,The Six Secret Teachings,"""If you can attain complete victory without fighting, without the great army suffering any losses, you will have penetrated even the realm of ghosts and spirits.""\n\n{{tr:3k_dlc04_great_library_instinct_exceptional_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_instinct_03.png,
3k_dlc04_ceo_factional_great_library_instinct_refined_01,3k_dlc04_ceo_factional_great_library_instinct_refined_01,0,The Three Strategies of Huang Shigong,"""If the general's plans are confidential, treacherous minds are prevented; if the troops are unified, morale is consolidated; if attacks are swift, their preparation will not be in time.""\n\n{{tr:3k_dlc04_great_library_instinct_refined_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_instinct_02.png,
3k_dlc04_ceo_factional_great_library_instinct_unique_01,3k_dlc04_ceo_factional_great_library_instinct_unique_01,0,The Art of War,"""If in training soldiers' commands are habitually enforced, the army will be well-disciplined; if not, its discipline will be bad.""\n\n{{tr:3k_dlc04_great_library_instinct_unique_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_instinct_04.png,
3k_dlc04_ceo_factional_great_library_resolve_common_01,3k_dlc04_ceo_factional_great_library_resolve_common_01,0,Zuo Zhuan,"""Xu Chen, having cloaked his horses in tiger skins, led the attack by striking directly at the troops of Chen and Cai.""\n\n{{tr:3k_dlc04_great_library_resolve_common_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_resolve_01.png,
3k_dlc04_ceo_factional_great_library_resolve_exceptional_01,3k_dlc04_ceo_factional_great_library_resolve_exceptional_01,0,Classic of Mountains & Seas,"""There is a beast dwelling here, whose form resembles a horse but with a white body, black tail, a single horn and tiger's teeth and claws!""\n\n{{tr:3k_dlc04_great_library_resolve_exceptional_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_resolve_03.png,
3k_dlc04_ceo_factional_great_library_resolve_refined_01,3k_dlc04_ceo_factional_great_library_resolve_refined_01,0,Lüshi Chunqiu,"An almanac of miscellaneous information, especially pertaining to agriculture.\n\n{{tr:3k_dlc04_great_library_resolve_refined_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_resolve_02.png,
3k_dlc04_ceo_factional_great_library_resolve_unique_01,3k_dlc04_ceo_factional_great_library_resolve_unique_01,0,Mencius,"""Men, for the most part, err and are afterwards able to reform.""\n\n{{tr:3k_dlc04_great_library_resolve_unique_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_resolve_04.png,
3k_dlc04_ceo_factional_trophy_cabinet_heroes_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_heroes_unique_01,0,Nushe Bifa,"""Do I know archery?! My good fellow, I wrote the book on it!""\n\n{{tr:3k_dlc04_trophy_cabinet_heroes_unique_unlock}}",accessories/3k_dlc04_ancillary_accessory_nushe_bifa_unique.png,
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_common_01,3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_common_01,0,Imperial Banner,"""Granted me by the emperor himself!""\n\n{{tr:3k_dlc04_trophy_cabinet_melee_cav_common_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_common.png,
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_refined_01,3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_refined_01,0,Silk Belt,"""Given to me by a warrior I defeated in single combat.""\n\n{{tr:3k_dlc04_trophy_cabinet_melee_cav_refined_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_refined.png,
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_unique_01,0,Bronze Double-cup,"""I wondered where I'd put that!""\n\n{{tr:3k_dlc04_trophy_cabinet_melee_cav_unique_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_unique.png,
3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_common_01,3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_common_01,0,Yellow Turban Banner,A good reminder that one must respect the people always.\n\n{{tr:3k_dlc04_trophy_cabinet_melee_inf_common_unlock}},trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_common.png,
3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_refined_01,3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_refined_01,0,Silk Headdress,"They fought bravely, to the end.\n\n{{tr:3k_dlc04_trophy_cabinet_melee_inf_refined_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_refined.png,
3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_unique_01,0,Bronze Boshanlu,One who is calm fears not the arrows of their enemies\n\n{{tr:3k_dlc04_trophy_cabinet_melee_inf_unique_unlock}},trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_unique.png,
3k_dlc04_ceo_factional_trophy_cabinet_people_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_people_unique_01,0,Worn Sandals,It is important to offer safe haven to those who do not seek war.\n\n{{tr:3k_dlc04_trophy_cabinet_people_unique_unlock}},trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_people_unique.png,
3k_dlc04_ceo_factional_trophy_cabinet_ranged_common_01,3k_dlc04_ceo_factional_trophy_cabinet_ranged_common_01,0,Black Dragon Siyah Bow,"""I won this in a competition with a wandering archer in the Jade Gate Pass.""\n\n{{tr:3k_dlc04_trophy_cabinet_ranged_common_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_ranged_common.png,
3k_dlc04_ceo_factional_trophy_cabinet_ranged_refined_01,3k_dlc04_ceo_factional_trophy_cabinet_ranged_refined_01,0,Wicker Bales,"""They may not look like much, but they saved me in a pinch when I dived behind them!""\n\n{{tr:3k_dlc04_trophy_cabinet_ranged_refined_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_ranged_refined.png,
3k_dlc04_ceo_factional_trophy_cabinet_ranged_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_ranged_unique_01,0,Ornate Quiver,"""Its former owner wasn't going to need it anymore...""\n\n{{tr:3k_dlc04_trophy_cabinet_ranged_unique_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_ranged_unique.png,
3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_common_01,3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_common_01,0,Chen Banner,Quite possibly the finest men I have yet had the pleasure of meeting.\n\n{{tr:3k_dlc04_trophy_cabinet_shock_cav_common_unlock}},trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_common.png,
3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_refined_01,3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_refined_01,0,Silk Robe,"The finest silks, depicting a great battle.\n\n{{tr:3k_dlc04_trophy_cabinet_shock_cav_refined_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_refined.png,
3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_unique_01,0,Amber Steppe Horseman,"""They ride without saddles and are able to fire behind them while they do so! Luckily, I ducked.""\n\n{{tr:3k_dlc04_trophy_cabinet_shock_cav_unique_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_unique.png,
3k_dlc04_ceo_factional_trophy_cabinet_siege_common_01,3k_dlc04_ceo_factional_trophy_cabinet_siege_common_01,0,Bronze Winch Mechanism,Crafted by the finest artisans in the bustling workshops of the capital.\n\n{{tr:3k_dlc04_trophy_cabinet_siege_common_unlock}},trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_siege_common.png,
3k_dlc04_ceo_factional_trophy_cabinet_siege_refined_01,3k_dlc04_ceo_factional_trophy_cabinet_siege_refined_01,0,Reclaimed Siege Engine,Some assembly required…\n\n{{tr:3k_dlc04_trophy_cabinet_siege_refined_unlock}},trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_siege_refined.png,
3k_dlc04_ceo_factional_trophy_cabinet_siege_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_siege_unique_01,0,Dented Helmet,"""I stepped aside at the last moment! It grazed my hat and hit my opponent square in the face - now [[b]]that's[[/b]] providence, my friend!""\n\n{{tr:3k_dlc04_trophy_cabinet_siege_unique_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_siege_unique.png,
3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_common_01,3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_common_01,0,Volunteer Banner,"Oft-times, it would seem, the greatest heroes come from the humblest beginnings.\n\n{{tr:3k_dlc04_trophy_cabinet_spear_inf_common_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_common.png,
3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_refined_01,3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_refined_01,0,Silk Tassel,"""Taken from the very spear which dared pierce my armour!""\n\n{{tr:3k_dlc04_trophy_cabinet_spear_inf_refined_unlock}}",trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_refined.png,
3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_unique_01,3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_unique_01,0,Jade Halberd Blade,Jade and men; both are sharpened by bitter tools.\n\n{{tr:3k_dlc04_trophy_cabinet_spear_inf_unique_unlock}},trophy_cabinet/3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_unique.png,
3k_dlc04_ceo_node_career_historical_bao_dan_01,3k_dlc04_ceo_node_career_historical_bao_dan_01,0,Complete Confucian,"""In literature, perhaps I am equal to others. But I cannot manifest the behaviour of the noble man.""",,
3k_dlc04_ceo_node_career_historical_beigong_boyu_01,3k_dlc04_ceo_node_career_historical_beigong_boyu_01,0,The Loyal Barbarian,"Ironically, this one has proven anything but loyal by raising his standard against the emperor.",,
3k_dlc04_ceo_node_career_historical_bi_lan_01,3k_dlc04_ceo_node_career_historical_bi_lan_01,0,Architect of the Southern Palace,"""Once complete, the Anterior Pavillion will be a delight to behold – it'll even have a water feature!""",,
3k_dlc04_ceo_node_career_historical_bian_zhang_01,3k_dlc04_ceo_node_career_historical_bian_zhang_01,0,Aspiring Official,He who aspires to greater personal advancement tends to be more... 'morally flexible' than his peers.,,
3k_dlc04_ceo_node_career_historical_bo_cai_01,3k_dlc04_ceo_node_career_historical_bo_cai_01,0,Marshal of Men,"Some people are born to lead others… and preferably from the very front, as an example to their followers.",,
3k_dlc04_ceo_node_career_historical_cai_yong_bojie_01,3k_dlc04_ceo_node_career_historical_cai_yong_bojie_01,0,Ritual Master,"This one knows every aspect of the procedures he has been tasked with administrating, becoming a master in his chosen field.",,
3k_dlc04_ceo_node_career_historical_cao_de_01,3k_dlc04_ceo_node_career_historical_cao_de_01,0,Loyal Son,The offspring of Cao Song has remained loyal to his family through thick and thin.,,
3k_dlc04_ceo_node_career_historical_cao_song_jugao_01,3k_dlc04_ceo_node_career_historical_cao_song_jugao_01,0,Ambitious Tycoon,"For the determined entrepreneur, no price is too high for the acquisition of real, workable power.",,
3k_dlc04_ceo_node_career_historical_chen_deng_yuanlong_01,3k_dlc04_ceo_node_career_historical_chen_deng_yuanlong_01,0,Man For All Seasons,"Sometimes, just sometimes, power fails to corrupt, and instead leads to altruism and charity.",,
3k_dlc04_ceo_node_career_historical_chen_gui_hanyu_01,3k_dlc04_ceo_node_career_historical_chen_gui_hanyu_01,0,Abundant Talent,"This man's gifts were noted at a young age and he continues to blossom, as if perpetually held in spring's sweet bloom.",,
3k_dlc04_ceo_node_career_historical_chen_su_01,3k_dlc04_ceo_node_career_historical_chen_su_01,0,Living Legacy,"You can call it inherited ability or mere nepotism, depending on the level of your cynicism.",,
3k_dlc04_ceo_node_career_historical_cheng_qiu_01,3k_dlc04_ceo_node_career_historical_cheng_qiu_01,0,Unscrupulous Advisor,Everything has a price it seems.,,
3k_dlc04_ceo_node_career_historical_diao_chan_01,3k_dlc04_ceo_node_career_historical_diao_chan_01,0,Deadly Beauty,Diao Chan uses her enchanting beauty to hide her ambition; one which can topple tyrants.,UI/Campaign UI/traits/icon_cunning_good.png,3k_main_opinion_topic_set_intelligence_artful
3k_dlc04_ceo_node_career_historical_ding_yuan_jianyang_01,3k_dlc04_ceo_node_career_historical_ding_yuan_jianyang_01,0,Rising Dragon,"This one is going places - specifically, up in the cut-throat world of Imperial administration.",,
3k_dlc04_ceo_node_career_historical_dong_he_youzai_01,3k_dlc04_ceo_node_career_historical_dong_he_youzai_01,0,Honest & Fair,"This man is admired for his honest, plain-speaking ways and even-handed manner in all things.",,
3k_dlc04_ceo_node_career_historical_du_ji_bohou_01,3k_dlc04_ceo_node_career_historical_du_ji_bohou_01,0,Model Governor,This one understands when to use the velvet glove and when to reveal the iron hand beneath.,,
3k_dlc04_ceo_node_career_historical_duan_gui_ziyin_01,3k_dlc04_ceo_node_career_historical_duan_gui_ziyin_01,0,Enforcer,"""I've heard that bandits have been abroad around these parts recently. Me? No, I know nothing about such things...""",,
3k_dlc04_ceo_node_career_historical_emperor_ling_01,3k_dlc04_ceo_node_career_historical_emperor_ling_01,0,The Inconstant Emperor,"He who flits and fluctuates risks appearing inconsistent, unsteady and, eventually, unstable...",UI/Campaign UI/traits/icon_tolerant_good.png,3k_main_opinion_topic_set_diplomatic_populist
3k_dlc04_ceo_node_career_historical_emperor_ling_02,3k_dlc04_ceo_node_career_historical_emperor_ling_02,0,The Great Emperor of the Han,"Having overcome adversity, this one is now recognised as a great emperor of the Han.",UI/Campaign UI/traits/icon_tolerant_good.png,3k_main_opinion_topic_set_diplomatic_populist
3k_dlc04_ceo_node_career_historical_emperor_shao_01,3k_dlc04_ceo_node_career_historical_emperor_shao_01,0,Lord Shi,"Due to fears for his health, Liu Bian was raised away from the capital by the famed Taoist, Shi Zimiao, earning him the nickname 'Lord Shi'.",UI/Campaign UI/traits/icon_tolerant_good.png,3k_main_opinion_topic_set_diplomatic_populist
3k_dlc04_ceo_node_career_historical_empress_he_01,3k_dlc04_ceo_node_career_historical_empress_he_01,0,Subtle Manipulator,"Always plotting, always scheming, always something beneath the obvious. Always.",UI/Campaign UI/traits/icon_honourable_good.png,
3k_dlc04_ceo_node_career_historical_feng_fang_01,3k_dlc04_ceo_node_career_historical_feng_fang_01,0,Bitter Adversary,"""In another life, they could've been best friends. However, that's just not how the bones fell…""",,
3k_dlc04_ceo_node_career_historical_fu_xie_nanrong_01,3k_dlc04_ceo_node_career_historical_fu_xie_nanrong_01,0,Destroyer of Rebels,"Fu Xie is not only a general of no little repute – the scourge of the Yellow Turbans, perhaps – but also a skilled writer.",,
3k_dlc04_ceo_node_career_historical_gao_wang_01,3k_dlc04_ceo_node_career_historical_gao_wang_01,0,Officer for Medicines,"""After a thorough examination, I've decided the best way forward is a course of leeches.""",,
3k_dlc04_ceo_node_career_historical_gao_you_01,3k_dlc04_ceo_node_career_historical_gao_you_01,0,Budding Scholar,"An up-and-coming young mind, of which great things are expected.",,
3k_dlc04_ceo_node_career_historical_guan_hai_01,3k_dlc04_ceo_node_career_historical_guan_hai_01,0,Determined Sapper,"Burrowing under tree and hill, no defences are a match for the mind of a determined sapper.",,
3k_dlc04_ceo_node_career_historical_guo_sheng_01,3k_dlc04_ceo_node_career_historical_guo_sheng_01,0,Friend of the He,"""Do I know the He? Oh yes, we go waaaaay back. I could tell you stories...""",,
